target,name,hidden,dropout,config,K,n_test,persistence,ridge,lstm
station_13,CITIES@Lycee Francais Theodore Monod International School,64,0.1,h64_d0.1,30,594,12.133064224454904,11.477989246262172,11.931082377224667
station_13,CITIES@Lycee Francais Theodore Monod International School,64,0.1,h64_d0.1,90,534,12.28736598793038,11.600764803222686,12.083319819994557
station_14,CITIES@West Yas Island,64,0.1,h64_d0.1,30,387,12.513374622556636,11.816025734865612,12.59601631285678
station_14,CITIES@West Yas Island,64,0.1,h64_d0.1,90,327,12.535055797770148,11.652379981007515,12.544918800252693
station_15,CITIES@Khalifa City 1,64,0.1,h64_d0.1,30,367,20.42504864771637,18.079328019477362,18.12202387435272
station_15,CITIES@Khalifa City 1,64,0.1,h64_d0.1,90,307,21.486237827058325,18.891308009311622,18.9442403361892
station_16,CITIES@Khalifa City 2,64,0.1,h64_d0.1,30,329,18.518673226090232,16.947053552743526,17.229543871670042
station_16,CITIES@Khalifa City 2,64,0.1,h64_d0.1,90,269,19.31623873352183,17.52611268179311,17.827681902253513
station_17,CITIES@Sas Al Nakhl,64,0.1,h64_d0.1,30,350,10.65030658177098,10.185138742956823,10.129951157841697
station_17,CITIES@Sas Al Nakhl,64,0.1,h64_d0.1,90,290,10.340353608973954,9.890101105996814,9.869765005985155
station_18,CITIES@Al Danah,64,0.1,h64_d0.1,30,310,12.29631412122112,11.337248022489911,12.073279883125855
station_18,CITIES@Al Danah,64,0.1,h64_d0.1,90,271,12.448336111935584,11.462228892962159,12.203036101158109
station_19,CITIES@Shakhbout[31],64,0.1,h64_d0.1,30,327,9.844875007554595,9.557835903941841,10.015286573130838
station_19,CITIES@Shakhbout[31],64,0.1,h64_d0.1,90,267,9.770016963172282,9.416372783598451,9.961079828155777
station_20,Abu dhabi al muzoon,64,0.1,h64_d0.1,30,242,11.300214389467746,10.753514988088792,11.147831028030852
station_20,Abu dhabi al muzoon,64,0.1,h64_d0.1,90,183,11.955186793054745,11.263740485845197,11.823711860206759
station_21,CITIES@Bateen-BWA,64,0.1,h64_d0.1,30,215,16.434843133939836,14.71581803519549,15.392111927086361
station_21,CITIES@Bateen-BWA,64,0.1,h64_d0.1,90,155,17.82374798570897,15.925398304044917,16.592997727952206
station_22,Mamsha Azure 3,64,0.1,h64_d0.1,30,141,13.749459924918883,12.37614897509997,13.169547558754777
station_22,Mamsha Azure 3,64,0.1,h64_d0.1,90,81,12.194108322373465,11.079415674908194,11.632028484016102
station_27,Sheleila,64,0.1,h64_d0.1,30,291,12.555055552695555,11.867285728109323,12.488072492845381
station_27,Sheleila,64,0.1,h64_d0.1,90,231,12.373207019526182,11.577064739405591,12.155526146371363
station_12,CITIES@Saadiyat,64,0.2,h64_d0.2,30,565,12.028233342645658,11.553971487615222,11.784499067287761
station_12,CITIES@Saadiyat,64,0.2,h64_d0.2,90,505,12.19209339638352,11.604956795792445,11.742653762116767
station_13,CITIES@Lycee Francais Theodore Monod International School,64,0.2,h64_d0.2,30,594,12.133064224454904,11.477989246262172,11.637988497267253
station_13,CITIES@Lycee Francais Theodore Monod International School,64,0.2,h64_d0.2,90,534,12.28736598793038,11.600764803222686,11.814429804832704
station_14,CITIES@West Yas Island,64,0.2,h64_d0.2,30,387,12.513374622556636,11.816025734865612,12.261471860508152
station_14,CITIES@West Yas Island,64,0.2,h64_d0.2,90,327,12.535055797770148,11.652379981007515,12.164968294666936
station_15,CITIES@Khalifa City 1,64,0.2,h64_d0.2,30,367,20.42504864771637,18.079328019477362,17.942871002624166
station_15,CITIES@Khalifa City 1,64,0.2,h64_d0.2,90,307,21.486237827058325,18.891308009311622,18.755933483904872
station_16,CITIES@Khalifa City 2,64,0.2,h64_d0.2,30,329,18.518673226090232,16.947053552743526,16.99408597756197
station_16,CITIES@Khalifa City 2,64,0.2,h64_d0.2,90,269,19.31623873352183,17.52611268179311,17.576837644120637
station_17,CITIES@Sas Al Nakhl,64,0.2,h64_d0.2,30,350,10.65030658177098,10.185138742956823,10.109157854519822
station_17,CITIES@Sas Al Nakhl,64,0.2,h64_d0.2,90,290,10.340353608973954,9.890101105996814,9.848715578232698
station_18,CITIES@Al Danah,64,0.2,h64_d0.2,30,310,12.29631412122112,11.337248022489911,11.707232470391213
station_18,CITIES@Al Danah,64,0.2,h64_d0.2,90,271,12.448336111935584,11.462228892962159,11.833485422104257
station_19,CITIES@Shakhbout[31],64,0.2,h64_d0.2,30,327,9.844875007554595,9.557835903941841,9.654338510170733
station_19,CITIES@Shakhbout[31],64,0.2,h64_d0.2,90,267,9.770016963172282,9.416372783598451,9.59543625130706
station_20,Abu dhabi al muzoon,64,0.2,h64_d0.2,30,242,11.300214389467746,10.753514988088792,11.118009357558062
station_20,Abu dhabi al muzoon,64,0.2,h64_d0.2,90,183,11.955186793054745,11.263740485845197,11.800476097302557
station_21,CITIES@Bateen-BWA,64,0.2,h64_d0.2,30,215,16.434843133939836,14.71581803519549,14.93162151115647
station_21,CITIES@Bateen-BWA,64,0.2,h64_d0.2,90,155,17.82374798570897,15.925398304044917,16.139661054496496
station_22,Mamsha Azure 3,64,0.2,h64_d0.2,30,141,13.749459924918883,12.37614897509997,13.035579942960663
station_22,Mamsha Azure 3,64,0.2,h64_d0.2,90,81,12.194108322373465,11.079415674908194,11.693870312471905
station_27,Sheleila,64,0.2,h64_d0.2,30,291,12.555055552695555,11.867285728109323,12.33792986049214
station_27,Sheleila,64,0.2,h64_d0.2,90,231,12.373207019526182,11.577064739405591,12.109038879090933
station_12,CITIES@Saadiyat,64,0.3,h64_d0.3,30,565,12.028233342645658,11.553971487615222,11.5913644911553
station_12,CITIES@Saadiyat,64,0.3,h64_d0.3,90,505,12.19209339638352,11.604956795792445,11.665240705258734
station_13,CITIES@Lycee Francais Theodore Monod International School,64,0.3,h64_d0.3,30,594,12.133064224454904,11.477989246262172,11.56929419097728
station_13,CITIES@Lycee Francais Theodore Monod International School,64,0.3,h64_d0.3,90,534,12.28736598793038,11.600764803222686,11.726257701320966
station_14,CITIES@West Yas Island,64,0.3,h64_d0.3,30,387,12.513374622556636,11.816025734865612,12.155813658472955
station_14,CITIES@West Yas Island,64,0.3,h64_d0.3,90,327,12.535055797770148,11.652379981007515,12.026886793930318
station_15,CITIES@Khalifa City 1,64,0.3,h64_d0.3,30,367,20.42504864771637,18.079328019477362,17.824820363169124
station_15,CITIES@Khalifa City 1,64,0.3,h64_d0.3,90,307,21.486237827058325,18.891308009311622,18.61904111476375
station_16,CITIES@Khalifa City 2,64,0.3,h64_d0.3,30,329,18.518673226090232,16.947053552743526,16.951051559672624
station_16,CITIES@Khalifa City 2,64,0.3,h64_d0.3,90,269,19.31623873352183,17.52611268179311,17.510796618844214
station_17,CITIES@Sas Al Nakhl,64,0.3,h64_d0.3,30,350,10.65030658177098,10.185138742956823,10.501870802245355
station_17,CITIES@Sas Al Nakhl,64,0.3,h64_d0.3,90,290,10.340353608973954,9.890101105996814,10.205239542776152
station_18,CITIES@Al Danah,64,0.3,h64_d0.3,30,310,12.29631412122112,11.337248022489911,11.882045488734029
station_18,CITIES@Al Danah,64,0.3,h64_d0.3,90,271,12.448336111935584,11.462228892962159,11.98632606132602
station_19,CITIES@Shakhbout[31],64,0.3,h64_d0.3,30,327,9.844875007554595,9.557835903941841,9.852231098156516
station_19,CITIES@Shakhbout[31],64,0.3,h64_d0.3,90,267,9.770016963172282,9.416372783598451,9.781108375352423
station_20,Abu dhabi al muzoon,64,0.3,h64_d0.3,30,242,11.300214389467746,10.753514988088792,11.124842172226415
station_20,Abu dhabi al muzoon,64,0.3,h64_d0.3,90,183,11.955186793054745,11.263740485845197,11.81337713138216
station_21,CITIES@Bateen-BWA,64,0.3,h64_d0.3,30,215,16.434843133939836,14.71581803519549,15.36003742950253
station_21,CITIES@Bateen-BWA,64,0.3,h64_d0.3,90,155,17.82374798570897,15.925398304044917,16.468721651664772
station_22,Mamsha Azure 3,64,0.3,h64_d0.3,30,141,13.749459924918883,12.37614897509997,13.008150438471493
station_22,Mamsha Azure 3,64,0.3,h64_d0.3,90,81,12.194108322373465,11.079415674908194,11.919974386005489
station_27,Sheleila,64,0.3,h64_d0.3,30,291,12.555055552695555,11.867285728109323,12.248257902216055
station_27,Sheleila,64,0.3,h64_d0.3,90,231,12.373207019526182,11.577064739405591,11.943063044911232
station_12,CITIES@Saadiyat,128,0.1,h128_d0.1,30,565,12.028233342645658,11.553971487615222,12.431015384404612
station_12,CITIES@Saadiyat,128,0.1,h128_d0.1,90,505,12.19209339638352,11.604956795792445,12.311115864895127
station_13,CITIES@Lycee Francais Theodore Monod International School,128,0.1,h128_d0.1,30,594,12.133064224454904,11.477989246262172,11.977863580048188
station_13,CITIES@Lycee Francais Theodore Monod International School,128,0.1,h128_d0.1,90,534,12.28736598793038,11.600764803222686,12.091535907567934
station_14,CITIES@West Yas Island,128,0.1,h128_d0.1,30,387,12.513374622556636,11.816025734865612,12.33296889970078
station_14,CITIES@West Yas Island,128,0.1,h128_d0.1,90,327,12.535055797770148,11.652379981007515,12.120462049098464
station_15,CITIES@Khalifa City 1,128,0.1,h128_d0.1,30,367,20.42504864771637,18.079328019477362,18.017126819278015
station_15,CITIES@Khalifa City 1,128,0.1,h128_d0.1,90,307,21.486237827058325,18.891308009311622,18.755785469714795
station_16,CITIES@Khalifa City 2,128,0.1,h128_d0.1,30,329,18.518673226090232,16.947053552743526,17.256248350927606
station_16,CITIES@Khalifa City 2,128,0.1,h128_d0.1,90,269,19.31623873352183,17.52611268179311,17.73129901841257
station_17,CITIES@Sas Al Nakhl,128,0.1,h128_d0.1,30,350,10.65030658177098,10.185138742956823,11.098496242783622
station_17,CITIES@Sas Al Nakhl,128,0.1,h128_d0.1,90,290,10.340353608973954,9.890101105996814,10.941842457180208
station_18,CITIES@Al Danah,128,0.1,h128_d0.1,30,310,12.29631412122112,11.337248022489911,12.043534817269494
station_18,CITIES@Al Danah,128,0.1,h128_d0.1,90,271,12.448336111935584,11.462228892962159,12.155207397271772
station_19,CITIES@Shakhbout[31],128,0.1,h128_d0.1,30,327,9.844875007554595,9.557835903941841,10.229681033019567
station_19,CITIES@Shakhbout[31],128,0.1,h128_d0.1,90,267,9.770016963172282,9.416372783598451,10.166839276534567
station_20,Abu dhabi al muzoon,128,0.1,h128_d0.1,30,242,11.300214389467746,10.753514988088792,11.491686950530225
station_20,Abu dhabi al muzoon,128,0.1,h128_d0.1,90,183,11.955186793054745,11.263740485845197,11.962550498073375
station_21,CITIES@Bateen-BWA,128,0.1,h128_d0.1,30,215,16.434843133939836,14.71581803519549,15.465947142760958
station_21,CITIES@Bateen-BWA,128,0.1,h128_d0.1,90,155,17.82374798570897,15.925398304044917,16.80851985208614
station_22,Mamsha Azure 3,128,0.1,h128_d0.1,30,141,13.749459924918883,12.37614897509997,12.917722584277156
station_22,Mamsha Azure 3,128,0.1,h128_d0.1,90,81,12.194108322373465,11.079415674908194,11.7478350444969
station_27,Sheleila,128,0.1,h128_d0.1,30,291,12.555055552695555,11.867285728109323,12.281995621984608
station_27,Sheleila,128,0.1,h128_d0.1,90,231,12.373207019526182,11.577064739405591,11.967938367210811
station_12,CITIES@Saadiyat,128,0.2,h128_d0.2,30,565,12.028233342645658,11.553971487615222,12.43813134427639
station_12,CITIES@Saadiyat,128,0.2,h128_d0.2,90,505,12.19209339638352,11.604956795792445,12.461121626278073
station_13,CITIES@Lycee Francais Theodore Monod International School,128,0.2,h128_d0.2,30,594,12.133064224454904,11.477989246262172,12.558491991327946
station_13,CITIES@Lycee Francais Theodore Monod International School,128,0.2,h128_d0.2,90,534,12.28736598793038,11.600764803222686,12.645157998308663
station_14,CITIES@West Yas Island,128,0.2,h128_d0.2,30,387,12.513374622556636,11.816025734865612,12.26131939646803
station_14,CITIES@West Yas Island,128,0.2,h128_d0.2,90,327,12.535055797770148,11.652379981007515,12.100539373462658
station_15,CITIES@Khalifa City 1,128,0.2,h128_d0.2,30,367,20.42504864771637,18.079328019477362,17.949873322718684
station_15,CITIES@Khalifa City 1,128,0.2,h128_d0.2,90,307,21.486237827058325,18.891308009311622,18.71923935700061
station_16,CITIES@Khalifa City 2,128,0.2,h128_d0.2,30,329,18.518673226090232,16.947053552743526,17.20023917736522
station_16,CITIES@Khalifa City 2,128,0.2,h128_d0.2,90,269,19.31623873352183,17.52611268179311,17.757398007012505
station_17,CITIES@Sas Al Nakhl,128,0.2,h128_d0.2,30,350,10.65030658177098,10.185138742956823,11.1926400873238
station_17,CITIES@Sas Al Nakhl,128,0.2,h128_d0.2,90,290,10.340353608973954,9.890101105996814,10.99517578262515
station_18,CITIES@Al Danah,128,0.2,h128_d0.2,30,310,12.29631412122112,11.337248022489911,11.946234251195941
station_18,CITIES@Al Danah,128,0.2,h128_d0.2,90,271,12.448336111935584,11.462228892962159,12.113158909185398
station_19,CITIES@Shakhbout[31],128,0.2,h128_d0.2,30,327,9.844875007554595,9.557835903941841,9.991392925165654
station_19,CITIES@Shakhbout[31],128,0.2,h128_d0.2,90,267,9.770016963172282,9.416372783598451,9.91514565620227
station_20,Abu dhabi al muzoon,128,0.2,h128_d0.2,30,242,11.300214389467746,10.753514988088792,10.770480631169479
station_20,Abu dhabi al muzoon,128,0.2,h128_d0.2,90,183,11.955186793054745,11.263740485845197,11.479119860663763
station_21,CITIES@Bateen-BWA,128,0.2,h128_d0.2,30,215,16.434843133939836,14.71581803519549,15.566651746169061
station_21,CITIES@Bateen-BWA,128,0.2,h128_d0.2,90,155,17.82374798570897,15.925398304044917,16.9972335827869
station_22,Mamsha Azure 3,128,0.2,h128_d0.2,30,141,13.749459924918883,12.37614897509997,14.098018669572395
station_22,Mamsha Azure 3,128,0.2,h128_d0.2,90,81,12.194108322373465,11.079415674908194,12.365492241008678
station_27,Sheleila,128,0.2,h128_d0.2,30,291,12.555055552695555,11.867285728109323,12.297163518113885
station_27,Sheleila,128,0.2,h128_d0.2,90,231,12.373207019526182,11.577064739405591,11.882638696242124
station_12,CITIES@Saadiyat,128,0.3,h128_d0.3,30,565,12.028233342645658,11.553971487615222,12.238562107933499
station_12,CITIES@Saadiyat,128,0.3,h128_d0.3,90,505,12.19209339638352,11.604956795792445,12.288406788196966
station_13,CITIES@Lycee Francais Theodore Monod International School,128,0.3,h128_d0.3,30,594,12.133064224454904,11.477989246262172,12.266650433184797
station_13,CITIES@Lycee Francais Theodore Monod International School,128,0.3,h128_d0.3,90,534,12.28736598793038,11.600764803222686,12.436865335597156
station_14,CITIES@West Yas Island,128,0.3,h128_d0.3,30,387,12.513374622556636,11.816025734865612,12.193286539967415
station_14,CITIES@West Yas Island,128,0.3,h128_d0.3,90,327,12.535055797770148,11.652379981007515,12.002677144769914
station_15,CITIES@Khalifa City 1,128,0.3,h128_d0.3,30,367,20.42504864771637,18.079328019477362,18.02179265084822
station_15,CITIES@Khalifa City 1,128,0.3,h128_d0.3,90,307,21.486237827058325,18.891308009311622,18.775918469888897
station_16,CITIES@Khalifa City 2,128,0.3,h128_d0.3,30,329,18.518673226090232,16.947053552743526,17.138900519284565
station_16,CITIES@Khalifa City 2,128,0.3,h128_d0.3,90,269,19.31623873352183,17.52611268179311,17.66219285429291
station_17,CITIES@Sas Al Nakhl,128,0.3,h128_d0.3,30,350,10.65030658177098,10.185138742956823,10.858148775328646
station_17,CITIES@Sas Al Nakhl,128,0.3,h128_d0.3,90,290,10.340353608973954,9.890101105996814,10.621275150862148
station_18,CITIES@Al Danah,128,0.3,h128_d0.3,30,310,12.29631412122112,11.337248022489911,11.95755741193589
station_18,CITIES@Al Danah,128,0.3,h128_d0.3,90,271,12.448336111935584,11.462228892962159,12.042965305863143
station_19,CITIES@Shakhbout[31],128,0.3,h128_d0.3,30,327,9.844875007554595,9.557835903941841,10.156903633959814
station_19,CITIES@Shakhbout[31],128,0.3,h128_d0.3,90,267,9.770016963172282,9.416372783598451,10.105683804636186
station_20,Abu dhabi al muzoon,128,0.3,h128_d0.3,30,242,11.300214389467746,10.753514988088792,11.849365288309144
station_20,Abu dhabi al muzoon,128,0.3,h128_d0.3,90,183,11.955186793054745,11.263740485845197,12.623852054772609
station_21,CITIES@Bateen-BWA,128,0.3,h128_d0.3,30,215,16.434843133939836,14.71581803519549,15.124614729236542
station_21,CITIES@Bateen-BWA,128,0.3,h128_d0.3,90,155,17.82374798570897,15.925398304044917,16.456232179284882
station_22,Mamsha Azure 3,128,0.3,h128_d0.3,30,141,13.749459924918883,12.37614897509997,13.39895748634214
station_22,Mamsha Azure 3,128,0.3,h128_d0.3,90,81,12.194108322373465,11.079415674908194,12.150337087105616
station_27,Sheleila,128,0.3,h128_d0.3,30,291,12.555055552695555,11.867285728109323,12.55087313793254
station_27,Sheleila,128,0.3,h128_d0.3,90,231,12.373207019526182,11.577064739405591,12.343448421496497
